epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5483,1.94883,3.01695,1.72375,0.20778,0.15397,0.0757,0.03002,2.01887,3.01243,1.84066,0.000656716,0.000656716,0.000656716
2,36.2474,1.9915,2.62681,1.7886,0.18257,0.2263,0.10346,0.03436,2.39909,3.17777,2.28477,0.00130467,0.00130467,0.00130467
3,52.3235,2.06844,2.57079,1.82113,0.10207,0.22351,0.08242,0.02564,2.38735,3.48276,2.46336,0.00193376,0.00193376,0.00193376
4,67.8754,2.06557,2.44661,1.85088,0.1869,0.19205,0.09955,0.0367,2.36553,2.92029,2.22946,0.00191514,0.00191514,0.00191514
5,83.5246,2.03937,2.39256,1.82639,0.23677,0.29801,0.17706,0.06277,2.1551,2.69007,1.98961,0.00188686,0.00188686,0.00188686
6,99.0981,1.98311,2.30364,1.81141,0.31685,0.2947,0.22441,0.08242,1.99126,2.29577,1.87213,0.00185857,0.00185857,0.00185857
7,114.86,1.96348,2.20681,1.76748,0.2417,0.34437,0.18787,0.07004,2.09738,2.5897,2.06466,0.00183029,0.00183029,0.00183029
8,130.421,1.93291,2.19201,1.74214,0.2847,0.35596,0.23601,0.08573,2.00675,2.38599,1.86235,0.001802,0.001802,0.001802
9,145.993,1.92402,2.16415,1.73707,0.31694,0.29636,0.25828,0.10988,1.96191,2.58984,1.8262,0.00177371,0.00177371,0.00177371
10,161.684,1.88558,2.08309,1.70783,0.312,0.38742,0.2851,0.11179,2.03991,2.2467,1.84612,0.00174543,0.00174543,0.00174543
11,177.463,1.91697,2.07802,1.70708,0.34808,0.34768,0.28405,0.11306,1.92633,2.27809,1.7641,0.00171714,0.00171714,0.00171714
12,193.33,1.90549,2.12262,1.69329,0.38129,0.33113,0.30467,0.11899,1.99182,2.29069,1.83834,0.00168886,0.00168886,0.00168886
13,209.015,1.87001,2.0243,1.67626,0.31607,0.38079,0.28666,0.11071,1.95822,2.31148,1.7851,0.00166057,0.00166057,0.00166057
14,224.684,1.86661,2.04322,1.66329,0.3494,0.38742,0.32042,0.12899,1.96348,2.06948,1.77562,0.00163229,0.00163229,0.00163229
15,240.343,1.83354,2.01935,1.65498,0.43862,0.38245,0.36943,0.15537,1.91553,1.96211,1.73588,0.001604,0.001604,0.001604
16,256.021,1.83504,1.9641,1.64463,0.42832,0.37748,0.35648,0.15244,1.8937,1.99491,1.72697,0.00157571,0.00157571,0.00157571
17,271.871,1.85052,1.97092,1.65838,0.34518,0.39735,0.29666,0.12388,1.96349,2.08548,1.79097,0.00154743,0.00154743,0.00154743
18,287.834,1.81815,2.10285,1.6148,0.40804,0.40563,0.37414,0.15801,1.96458,1.94516,1.78119,0.00151914,0.00151914,0.00151914
19,303.646,1.80052,1.95597,1.63234,0.37686,0.43709,0.3753,0.15616,1.89151,2.06043,1.71562,0.00149086,0.00149086,0.00149086
20,319.055,1.81185,1.94477,1.62797,0.37411,0.43709,0.3781,0.15887,1.87303,2.14162,1.70799,0.00146257,0.00146257,0.00146257
21,334.527,1.81689,1.97481,1.63991,0.43532,0.44671,0.39636,0.15695,1.93616,2.00003,1.75863,0.00143429,0.00143429,0.00143429
22,350.078,1.78095,1.87063,1.60915,0.45825,0.41391,0.40611,0.17397,1.86884,1.89846,1.70666,0.001406,0.001406,0.001406
23,365.606,1.73404,1.85201,1.56362,0.46882,0.39238,0.3937,0.16736,1.87416,1.95151,1.72226,0.00137771,0.00137771,0.00137771
24,381.015,1.76846,1.83504,1.59663,0.43523,0.40397,0.3736,0.15164,1.91208,2.01166,1.7413,0.00134943,0.00134943,0.00134943
25,396.271,1.75657,1.86493,1.57728,0.48385,0.4106,0.39943,0.16941,1.84826,1.87674,1.72014,0.00132114,0.00132114,0.00132114
26,411.983,1.747,1.85392,1.57305,0.48555,0.45199,0.42184,0.18494,1.84146,1.84764,1.68756,0.00129286,0.00129286,0.00129286
27,427.78,1.76859,1.84808,1.59682,0.41114,0.43543,0.38502,0.16958,1.81497,1.8597,1.65749,0.00126457,0.00126457,0.00126457
28,443.197,1.70642,1.78522,1.55288,0.44827,0.4255,0.40809,0.17894,1.83889,1.84951,1.65859,0.00123629,0.00123629,0.00123629
29,458.626,1.73417,1.80469,1.56199,0.55276,0.40894,0.45038,0.19984,1.8314,1.79524,1.66724,0.001208,0.001208,0.001208
30,474.786,1.70366,1.80654,1.56583,0.48179,0.40728,0.41439,0.18444,1.88717,1.79918,1.74752,0.00117971,0.00117971,0.00117971
31,490.805,1.72327,1.75762,1.55828,0.46866,0.44978,0.40319,0.18266,1.83588,1.89215,1.6727,0.00115143,0.00115143,0.00115143
32,506.817,1.70122,1.75854,1.53542,0.50602,0.46026,0.4364,0.19355,1.82601,1.8423,1.66863,0.00112314,0.00112314,0.00112314
33,522.368,1.698,1.7644,1.52527,0.48483,0.43874,0.4393,0.20431,1.82183,1.80453,1.662,0.00109486,0.00109486,0.00109486
34,537.836,1.67534,1.73464,1.53822,0.43666,0.4404,0.38823,0.17378,1.81805,1.92384,1.6795,0.00106657,0.00106657,0.00106657
35,553.125,1.67078,1.75268,1.51601,0.43042,0.46523,0.41206,0.18298,1.88595,1.8458,1.701,0.00103829,0.00103829,0.00103829
36,568.436,1.65836,1.69968,1.52907,0.49498,0.44205,0.42653,0.1868,1.82084,1.80677,1.67206,0.00101,0.00101,0.00101
37,583.992,1.69326,1.73904,1.54772,0.52902,0.46192,0.46449,0.21071,1.8157,1.79344,1.65421,0.000981714,0.000981714,0.000981714
38,599.409,1.69664,1.6995,1.52056,0.49848,0.45861,0.42295,0.19123,1.79104,1.79169,1.63117,0.000953429,0.000953429,0.000953429
39,614.841,1.65085,1.67638,1.51645,0.48332,0.43543,0.43163,0.1943,1.81502,1.77403,1.63074,0.000925143,0.000925143,0.000925143
40,630.309,1.6623,1.6955,1.50989,0.52858,0.44536,0.45938,0.20564,1.79789,1.76179,1.6208,0.000896857,0.000896857,0.000896857
41,645.811,1.60927,1.66968,1.48236,0.4812,0.52365,0.45261,0.19762,1.81887,1.75194,1.65581,0.000868571,0.000868571,0.000868571
42,661.491,1.65679,1.6647,1.51222,0.53228,0.45199,0.47305,0.20803,1.84596,1.74172,1.6999,0.000840286,0.000840286,0.000840286
43,676.85,1.66121,1.66267,1.5205,0.53549,0.46358,0.47534,0.21008,1.81808,1.79281,1.671,0.000812,0.000812,0.000812
44,692.245,1.63401,1.66445,1.50264,0.51618,0.45572,0.47199,0.21006,1.76673,1.7747,1.63376,0.000783714,0.000783714,0.000783714
45,707.716,1.61881,1.61426,1.4837,0.47414,0.47185,0.44982,0.20241,1.83528,1.85014,1.64915,0.000755429,0.000755429,0.000755429
46,723.152,1.60664,1.57278,1.47548,0.55244,0.47185,0.48338,0.22018,1.75607,1.68086,1.60241,0.000727143,0.000727143,0.000727143
47,738.552,1.60732,1.5906,1.46602,0.50315,0.46946,0.45396,0.19342,1.81397,1.75734,1.69713,0.000698857,0.000698857,0.000698857
48,754.076,1.60544,1.60239,1.46701,0.49308,0.49007,0.468,0.20937,1.85197,1.74289,1.70088,0.000670571,0.000670571,0.000670571
49,769.561,1.58236,1.53152,1.45822,0.51868,0.46689,0.4472,0.20272,1.79478,1.78321,1.6469,0.000642286,0.000642286,0.000642286
50,785.219,1.60579,1.56679,1.4613,0.51677,0.49007,0.48579,0.22411,1.81883,1.67891,1.62085,0.000614,0.000614,0.000614
51,801.119,1.57834,1.57018,1.46427,0.54842,0.49669,0.48671,0.2229,1.75167,1.69139,1.62502,0.000585714,0.000585714,0.000585714
52,816.68,1.59211,1.56981,1.44888,0.57133,0.49669,0.51104,0.23712,1.78331,1.63324,1.61202,0.000557429,0.000557429,0.000557429
53,832.427,1.5472,1.52592,1.44845,0.51674,0.48841,0.48519,0.22915,1.79339,1.66929,1.6331,0.000529143,0.000529143,0.000529143
54,847.854,1.57253,1.54433,1.45656,0.59184,0.48344,0.50093,0.23491,1.78525,1.63669,1.63543,0.000500857,0.000500857,0.000500857
55,863.185,1.58778,1.50222,1.45267,0.55281,0.49007,0.49133,0.22684,1.79965,1.65641,1.65467,0.000472571,0.000472571,0.000472571
56,878.901,1.55581,1.48639,1.42874,0.55767,0.47351,0.48705,0.22711,1.78432,1.6471,1.62322,0.000444286,0.000444286,0.000444286
57,894.591,1.56499,1.47491,1.4296,0.55317,0.50993,0.5192,0.2374,1.80686,1.68188,1.65735,0.000416,0.000416,0.000416
58,909.999,1.49826,1.43578,1.41974,0.57974,0.47049,0.49307,0.22748,1.80039,1.65765,1.63199,0.000387714,0.000387714,0.000387714
59,925.484,1.53015,1.4727,1.44611,0.59328,0.48179,0.5259,0.2392,1.78401,1.66546,1.61889,0.000359429,0.000359429,0.000359429
60,940.971,1.51992,1.44727,1.40889,0.5994,0.49172,0.53058,0.24263,1.82004,1.6177,1.65117,0.000331143,0.000331143,0.000331143
61,982.419,1.54247,1.45489,1.43435,0.60242,0.48841,0.52296,0.24253,1.7662,1.6014,1.61107,0.000302857,0.000302857,0.000302857
62,998.374,1.53043,1.39374,1.42562,0.55764,0.49834,0.51711,0.24546,1.77453,1.58624,1.61281,0.000274571,0.000274571,0.000274571
63,1014.08,1.51648,1.38412,1.41422,0.57829,0.50166,0.519,0.24771,1.76812,1.61717,1.61348,0.000246286,0.000246286,0.000246286
64,1029.74,1.51303,1.34147,1.38837,0.54234,0.50423,0.49691,0.23947,1.78028,1.66135,1.63456,0.000218,0.000218,0.000218
65,1045.43,1.48821,1.34776,1.39436,0.62883,0.47682,0.53728,0.25222,1.75857,1.61792,1.60879,0.000189714,0.000189714,0.000189714
66,1060.71,1.4701,1.3145,1.37896,0.55506,0.53974,0.5319,0.24983,1.74137,1.60512,1.59813,0.000161429,0.000161429,0.000161429
67,1075.89,1.48519,1.30993,1.38195,0.57519,0.5149,0.5217,0.24979,1.75499,1.5911,1.61729,0.000133143,0.000133143,0.000133143
68,1091.06,1.48862,1.30978,1.3809,0.57618,0.50828,0.52726,0.24642,1.77204,1.60988,1.62739,0.000104857,0.000104857,0.000104857
69,1106.46,1.46348,1.28785,1.3545,0.57401,0.51325,0.52534,0.24806,1.75645,1.60199,1.61351,7.65714e-05,7.65714e-05,7.65714e-05
70,1122.01,1.44558,1.25626,1.35081,0.57472,0.51325,0.53193,0.25026,1.74865,1.58665,1.60684,4.82857e-05,4.82857e-05,4.82857e-05
